SMILES,pIC50
COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,5.14
COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,5.35
COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,6.77
COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,5.19
COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,5.27
COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,6.51
NCCCCCCNCCSSCCNCCCCCCN,3.3
Nc1c2c(nc3ccccc13)CCCC2,6.66
COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC,5.73
COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,5.14
NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,5.52
C[n+]1ccn(COCC(C)(C)[N+](=O)[O-])c1/C=N/O.[Cl-],4.97
C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,6.4
C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,8.3
Nc1c2c(nc3ccccc13)-c1ccccc1CO2,3.61
C[n+]1ccccc1/C=N/O.[Cl-],3.44
Nc1cc(-c2ccccc2)nc2ccccc12,4.94
CN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O.[Cl-],5.17
C[n+]1ccn(COCCS(C)(=O)=O)c1/C=N/O.[Cl-],4.58
CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,5.7
Nc1c2c(nc3ccccc13)-c1ccccc1C2,6.17
Nc1c2c(nc3ccccc13)-c1ccccc1CC2,5.53
Nc1c2c(nc3ccccc13)-c1ccccc1CS2,4.73
C[n+]1ccn(CCN2CCCC2)c1/C=N/O.[Cl-],4.75
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,5.38
COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.66
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,6.64
COc1cc2cc(C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.12
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,8.34
COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC.[Br-],6.41
CCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],5.59
COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC.[Br-],7.4
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,6.17
COc1cc2cc(C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.96
CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],6.55
CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,6.8
CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,6.64
COc1cc2cc(C(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],4.71
COc1cc2cc(C(=O)CCC3CC[N+](C)(CC#N)CC3)sc2cc1OC.[Br-],6.0
COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1.[Br-],7.28
COC(=O)c1ccc(C[n+]2ccc(CCC(=O)c3cc4cc(OC)c(OC)cc4s3)cc2)cc1,6.0
CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,5.5
COc1cc2cc(C(=O)C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.28
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2cc1OC,8.59
COc1cc2cc(C(=O)CC(OC)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.92
COc1cc2cc(C(=O)CCc3cc[n+](CC4CC4)cc3)sc2cc1OC.[Br-],6.96
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,5.47
COc1cc2cc(C(=O)CC3(O)CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],7.05
COc1cc2cc(C(=O)CCC3CC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC.[Br-],7.55
COc1cc2cc(C(=O)CCc3cc[n+](C)cc3)sc2cc1OC.[Br-],6.05
COCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,7.52
COc1cc2cc(C(=O)CC(O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],6.42
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccsc4)cc3)sc2cc1OC,8.22
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,6.85
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,6.74
COC(=O)C[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1.[Br-],7.27
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],8.1
COc1cc2cc(CC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],5.0
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,6.8
CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,5.42
C=CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],6.27
CCOCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,8.15
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,7.22
COc1cc2cc(C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],5.57
